agent_name,agent_id,x_coord,y_coord,trace_no,trace_id,o_node_id,d_node_id,,
JUPI0014,1,-111.936576,33.414725,0,0,,,384,74
JUPI0014,1,-111.936573,33.415152,1,1,,,,
JUPI0014,1,-111.936586,33.415914,2,2,,,,
JUPI0014,1,-111.936586,33.415914,3,3,,,,
JUPI0014,1,-111.936613,33.417441,4,4,,,,
JUPI0014,1,-111.936636,33.417566,5,5,,,,
JUPI0014,1,-111.936636,33.417566,6,6,,,,
JUPI0014,1,-111.936645,33.417618,7,7,,,,
JUPI0014,1,-111.936748,33.417644,8,8,,,,
JUPI0014,1,-111.938314,33.417634,9,9,,,,
JUPI0014,1,-111.938314,33.417634,10,10,,,,
JUPI0014,1,-111.939315,33.417628,11,11,,,,
JUPI0014,1,-111.93984,33.417626,12,12,,,,
JUPI0014,1,-111.939844,33.417858,13,13,,,,
JUPI0014,1,-111.939844,33.417858,14,14,,,,
JUPI0014,1,-111.939859,33.418692,15,15,,,,
JUPI0014,1,-111.939858,33.419056,16,16,,,,
JUPI0014,1,-111.939858,33.419474,17,17,,,,
JUPI0014,1,-111.939858,33.419474,18,18,,,,
JUPI0014,1,-111.939858,33.419622,19,19,,,,
JUPI0014,1,-111.939874,33.420802,20,20,,,,
JUPI0014,1,-111.939874,33.420802,21,21,,,,
JUPI0014,1,-111.939879,33.421124,22,22,,,,
JUPI0014,1,-111.939892,33.421683,23,23,,,,
JUPI0014,1,-111.939902,33.421878,24,24,,,,
JUPI0014,1,-111.939906,33.42197,25,25,,,,
JUPI0014,1,-111.93992,33.422245,26,26,,,,
JUPI0014,1,-111.939935,33.422566,27,27,,,,
JUPI0014,1,-111.939935,33.422566,28,28,,,,
JUPI0014,1,-111.939949,33.422851,29,29,,,,
JUPI0014,1,-111.939963,33.423469,30,30,,,,
JUPI0014,1,-111.939963,33.423469,31,31,,,,
JUPI0014,1,-111.939966,33.423606,32,32,,,,
JUPI0014,1,-111.93995,33.42445,33,33,,,,
JUPI0014,1,-111.93995,33.424638,34,34,,,,
JUPI0014,1,-111.93995,33.424638,35,35,,,,
JUPI0014,1,-111.93995,33.425106,36,36,,,,
JUPI0014,1,-111.939949,33.425493,37,37,,,,
JUPI0014,1,-111.938817,33.425496,38,38,,,,
JUPI0014,1,-111.938817,33.425496,39,39,,,,
JUPI0014,1,-111.938165,33.425497,40,40,,,,
JUPI0014,1,-111.936667,33.425503,41,41,,,,
JUPI0014,1,-111.935354,33.425505,42,42,,,,
JUPI0014,1,-111.935364,33.425644,43,43,,,,
JUPI0014,1,-111.93538,33.425682,44,44,,,,
JUPI0014,1,-111.935409,33.42572,45,45,,,,
JUPI0014,1,-111.935479,33.425765,46,46,,,,
JUPI0014,1,-111.935575,33.425791,47,47,,,,
JUPI0014,1,-111.93568,33.425805,48,48,,,,
JUPI0014,1,-111.935826,33.425808,49,49,,,,
JUPI0014,1,-111.935964,33.425808,50,50,,,,
JUPI0014,1,-111.936122,33.425806,51,51,,,,
