o_zone_id,d_zone_id,volume
1,19,545.850577618165
1,80,517.4786279798955
1,109,572.3787425997102
1,111,509.84904656307197
1,124,447.9721924152022
1,128,496.25398451015315
1,144,546.5165450497581
1,277,454.85186460050033
1,385,468.38807864861616
1,387,568.1306970832176
1,397,444.0803729927321
1,399,528.2492699389783
17,1,155.86986837997657
17,19,130.87535964952664
17,80,124.0727853460068
17,109,137.2358606275624
17,111,122.24348580352176
17,124,107.40763901204211
17,128,118.98387830544556
17,144,174.93248531151562
17,277,109.0571372601718
17,385,140.82454740414977
17,387,181.8508803122924
17,397,133.5162451576462
17,399,163.1298274301423
19,1,18.042596685711416
19,80,14.99839290895189
19,109,21.909669136713088
19,111,19.433722496961096
19,124,17.0576581679235
19,128,18.915524679300358
19,144,15.167859623201107
19,277,17.319618839659615
19,385,13.575572125297386
19,387,15.767732448438624
19,397,12.871047338321521
19,399,14.940605549520413
80,1,565.9514731782763
80,19,493.8194318078853
80,109,517.8188996022684
80,111,533.7135998511094
80,124,633.0667019331422
80,128,605.8358649187429
80,144,475.7781071230262
80,277,642.7889379434773
80,385,661.918085978093
80,387,494.5946286623924
80,397,627.5668487547134
80,399,547.1474202468743
92,93,0.0
93,92,0.0
111,1,8.288963184280975
111,19,9.51110323767757
111,80,7.933406712176105
111,109,9.97333983903209
111,124,9.022656002206745
111,128,10.005375333615056
111,144,6.968278025115017
111,277,9.161220217992625
111,385,7.180805015194884
111,387,7.243866059933871
111,397,6.80814631050441
111,399,7.902840062270634
124,1,80.07171045975178
124,19,91.78762417023896
124,80,103.46435243106993
124,109,96.24847359880819
124,111,99.20286680159896
124,128,112.60843761135537
124,144,67.31383986457665
124,277,119.47701053549514
124,385,93.6492187764224
124,387,69.97603112295191
124,397,88.78915134795885
124,399,77.41128327977202
263,1,0.0
263,19,0.0
263,80,0.0
263,109,0.0
263,111,0.0
263,124,0.0
263,128,0.0
263,144,0.0
263,277,0.0
263,385,0.0
263,387,0.0
263,397,0.0
263,399,0.0
271,1,0.0
271,19,0.0
271,80,0.0
271,109,0.0
271,111,0.0
271,124,0.0
271,128,0.0
271,144,0.0
271,277,0.0
271,385,0.0
271,387,0.0
271,397,0.0
271,399,0.0
286,1,126.06772476590432
286,19,144.6553831318106
286,80,140.09279742468453
286,109,151.6855888814026
286,111,156.34165100889675
286,124,159.32740692718755
286,128,176.68084728579274
286,144,105.98128338034144
286,277,161.77425596905113
286,385,126.80291063306892
286,387,110.17273118266793
286,397,120.22228237098557
286,399,120.19513703820606
352,1,105.13956577009014
352,19,120.52335204176765
352,80,135.8556851705349
352,109,126.38074873271601
352,111,130.26006661754707
352,124,154.50854314030366
352,128,147.86248681995363
352,144,88.38761971041464
352,277,157.99852398787965
352,385,122.96775153579938
352,387,91.88325670000035
352,397,116.58615463836747
352,399,101.64624513462532
385,1,326.8285627937451
385,19,285.17338115763727
385,80,422.31026927330765
385,109,299.0327170526465
385,111,308.2116701688789
385,124,365.5866097201757
385,128,349.86120613547047
385,144,346.6082884164089
385,277,371.20105649342145
385,387,360.31628007694945
385,397,465.36825156905314
385,399,399.50170714230495
397,1,7.554088126273278
397,19,6.591299224638453
397,80,9.760985892576397
397,109,6.911634276837035
397,111,7.123790216190197
397,124,8.449914670874465
397,128,8.086448627745781
397,144,8.011262949642077
397,277,8.579683089346918
397,385,11.368988341042458
397,387,8.3280999364488
397,399,9.233804648384139
399,1,489.6823657541301
399,19,416.9270364317787
399,80,459.82968364524794
399,109,437.18955819366994
399,111,450.6093020167499
399,124,398.0665101557654
399,128,438.5938604584369
399,144,529.1515196197308
399,277,404.17976259461125
399,385,526.5077045875555
399,387,550.0789032413113
399,397,499.1837933010118
